Data_Hora,idTweet,Tweet,Candidato,Tweet_limpo
2022-07-30 23:22:03+00:00,1553521334897999874,@LulaOficial A TODOS OS DEMOCRATAS: ASSINEM!!! Carta às brasileiras e aos brasileiros em defesa do Estado Democrático de Direito! https://t.co/GmGQrJ7koe,Lula, a todos os democratas: assinem!!! carta às brasileiras e aos brasileiros em defesa do estado democrático de direito! .co/gmgqrj7koe
2022-07-30 23:22:03+00:00,1553521332272480256,"@angelobiazus1 @SilvioN34576400 @reinaldoazevedo Pô mané... Passa esse atestado não. 
Tivemos a Dilma e o Lula como representantes da esquerda. 
Eles mal conseguem ser coerentes no q falam, quanto mais no q escrevem.",Lula,"   pô mané... passa esse atestado não. tivemos a dilma e o lula como representantes da esquerda. eles mal conseguem ser coerentes no q falam, quanto mais no q escrevem."
2022-07-30 23:22:03+00:00,1553521331417006080,"@PaolaSDaniel TADINHA DA PAOLA, DODOIZINHA DA CABEÇA.

LULA E MORO NO MESMO PALANQUE? KKKKKKKK",Lula," tadinha da paola, dodoizinha da cabeça.lula e moro no mesmo palanque? kkkkkkkk"
2022-07-30 23:22:02+00:00,1553521329709645824,"@LulaOficial Quando a petezada perceber, tu tá fu.",Lula," quando a petezada perceber, tu tá fu."
2022-07-30 23:22:02+00:00,1553521328556101632,@JoaoMeiraNeto63 @reinaldoazevedo Bora saudar a mandioca e os meninos do lula que gostam de socializar celulares e apontar furadeiras para as vítimas,Lula,  bora saudar a mandioca e os meninos do lula que gostam de socializar celulares e apontar furadeiras para as vítimas
2022-07-30 23:22:01+00:00,1553521325989314560,O @LulaOficial investiu parte do nosso dinheiro em Cuba e na Venezuela a outra roubou.,Lula,o  investiu parte do nosso dinheiro em cuba e na venezuela a outra roubou.
2022-07-30 23:22:01+00:00,1553521323820949505,@LulaOficial Kkkkkk e eu quero que seu avião CAIA no mar e vc tenha o mesmo destino do Ulysses Guimarães..virou comida de TUBARÃO,Lula, kkkkkk e eu quero que seu avião caia no mar e vc tenha o mesmo destino do ulysses guimarães..virou comida de tubarão
2022-07-30 23:22:00+00:00,1553521321568600065,@LulaOficial @dilmabr O cara diz que fez 88% e nada de ÁGUA. Aí o outro vai e faz 5% e leva água pra população. É muita incompetência da PTralhada.,Lula,  o cara diz que fez 88% e nada de água. aí o outro vai e faz 5% e leva água pra população. é muita incompetência da ptralhada.
2022-07-30 23:21:59+00:00,1553521315901997060,@Bozo22naCadeia @Nilsonhandebol @LulaOficial Seguindo.  🚩,Lula,   seguindo.  🚩
2022-07-30 23:21:58+00:00,1553521312554958849,@LulaOficial https://t.co/TFXeaN8L73,Lula, .co/tfxean8l73
2022-07-30 23:21:58+00:00,1553521311045017604,@ThiagoResiste É lula ladrão,Lula, é lula ladrão
2022-07-30 23:21:56+00:00,1553521302002176000,Lula é um político relevante. Acho que a Sofia esqueceu disso. https://t.co/YG5LYBMqRA,Lula,lula é um político relevante. acho que a sofia esqueceu disso. .co/yg5lybmqra
